,AUDUSD,NZDUSD,USDUSD
2018-03-13 03:00:00,-0.2871358755124364,-0.7771179813661573,0.2693345124958633
2018-03-13 04:00:00,-0.2846294911223225,-0.7772509975371834,0.2717285952872261
2018-03-13 05:00:00,-0.2759577639097449,-0.7768358916805401,0.2804270280611662
2018-03-13 06:00:00,-0.2703014040634649,-0.7817419763600935,0.280699164699317
2018-03-13 07:00:00,-0.25841725396391424,-0.7903789251623697,0.2835480108209932
2018-03-13 08:00:00,-0.2576250162757332,-0.7965687165346912,0.277144733918545
2018-03-13 09:00:00,-0.24734695547325947,-0.8040728662819853,0.2797018719271263
2018-03-13 10:00:00,-0.24396181462493446,-0.8030491074241366,0.2830650779375474
2018-03-13 11:00:00,-0.23356815064570832,-0.8063709085905454,0.2897906413758106
2018-03-13 12:00:00,-0.23634690975446715,-0.8076959676928488,0.28494114989586466
2018-03-13 13:00:00,-0.2389466693154801,-0.8095097060272926,0.2801530892204887
2018-03-13 14:00:00,-0.24389156454486896,-0.8168510051152976,0.2672602620330002
2018-03-13 15:00:00,-0.24831401059936187,-0.8212392244832455,0.2581643326266501
2018-03-13 16:00:00,-0.24304390552808994,-0.8258714078965519,0.258294152307303
2018-03-13 17:00:00,-0.24268360663687963,-0.8339922892831242,0.24988152628318538
2018-03-13 18:00:00,-0.23752114499129032,-0.8450185811299782,0.24310126835654028
2018-03-13 19:00:00,-0.23105834059745123,-0.8491649577389843,0.24496404909836728
2018-03-13 20:00:00,-0.22193670566314033,-0.8484426854846496,0.2547150428307073
2018-03-13 21:00:00,-0.21485867132365574,-0.8571411574533808,0.252694178777279
2018-03-13 22:00:00,-0.21471134746256249,-0.8544574328919924,0.2557117397331026
2018-03-13 23:00:00,-0.19708072179287994,-0.8644225797727825,0.2633569512923514
2018-03-14 00:00:00,-0.19743551291701644,-0.8685905265654164,0.2585154440621293
2018-03-14 01:00:00,-0.19158170349144316,-0.875466256021448,0.2572582058026897
2018-03-14 02:00:00,-0.18280532877528824,-0.8749094209378389,0.265972774308485
2018-03-14 03:00:00,-0.19456857694335777,-0.8697766186714054,0.25894864085784264
2018-03-14 04:00:00,-0.2065334167165392,-0.8610371708991341,0.25536575164964354
2018-03-14 05:00:00,-0.2199938834102783,-0.8602071475963599,0.24268878563294427
2018-03-14 06:00:00,-0.22261721882878022,-0.865556680761679,0.23438097806022432
2018-03-14 07:00:00,-0.21671355912150417,-0.8761367504427902,0.22939540168870612
2018-03-14 08:00:00,-0.20627673689535575,-0.8757587808205334,0.23964615658210092
2018-03-14 09:00:00,-0.21414569436537323,-0.8718933057259138,0.2352637304376004
2018-03-14 10:00:00,-0.20662098218920597,-0.8737350587457136,0.24089064157911208
2018-03-14 11:00:00,-0.20316099937487084,-0.869632586428604,0.24854476332071057
2018-03-14 12:00:00,-0.19841006206223202,-0.8670811962397782,0.25604972446495117
2018-03-14 13:00:00,-0.19896416142928913,-0.8764537221137753,0.24631152262605335
2018-03-14 14:00:00,-0.19370478503937888,-0.879578928346328,0.24852150731593906
2018-03-14 15:00:00,-0.19553597146647628,-0.884772458312242,0.24146422210786936
2018-03-14 16:00:00,-0.1927808214119272,-0.8875203424208704,0.24153012350010497
2018-03-14 17:00:00,-0.18489301789986878,-0.8922367962547555,0.24459391259003008
2018-03-14 18:00:00,-0.17692956215184408,-0.8893468751744151,0.25453359415399207
2018-03-14 19:00:00,-0.1786360327378609,-0.8757845500641234,0.26645035627035446
2018-03-14 20:00:00,-0.19678207304374254,-0.8752923903736897,0.24880093868990513
2018-03-14 21:00:00,-0.1940145240958822,-0.8780355164537382,0.24937366290482577
2018-03-14 22:00:00,-0.18521241954502143,-0.8854959448354046,0.2507826096507789
2018-03-14 23:00:00,-0.18403168283484492,-0.8818790318170602,0.25495481469995235
2018-03-15 00:00:00,-0.18868560822342645,-0.8826611943922967,0.2491475928838618
2018-03-15 01:00:00,-0.1774105967288442,-0.8863451869403495,0.25655232173048786
2018-03-15 02:00:00,-0.16856078023028417,-0.8874732041259363,0.26362530433514575
2018-03-15 03:00:00,-0.14384754239468686,-0.9054866630898228,0.27034746903196366
2018-03-15 04:00:00,-0.13843892995081752,-0.9084158963026333,0.27274170134998876
2018-03-15 05:00:00,-0.12326208669973276,-0.9008760427920978,0.29544876042148166
2018-03-15 06:00:00,-0.12798364264492473,-0.8939717063067557,0.29733982939075393
2018-03-15 07:00:00,-0.12169699417862873,-0.9104553531600493,0.2876795176970711
2018-03-15 08:00:00,-0.102380346368864,-0.9413675723565397,0.27584659138369866
2018-03-15 09:00:00,-0.06916613130880471,-0.963538715160196,0.28637317077796065
2018-03-15 10:00:00,-0.07532434666316705,-0.9479547436416055,0.29464656851804993
2018-03-15 11:00:00,-0.07527989281518897,-0.9446765672975163,0.2980816587657068
2018-03-15 12:00:00,-0.061717077594322156,-0.953970691444695,0.30240013248072045
2018-03-15 13:00:00,-0.05635932558995974,-0.9681393325523538,0.2939118130799642
2018-03-15 14:00:00,-0.06159834108112616,-0.9907289065348286,0.26595903155842515
2018-03-15 15:00:00,-0.032799087772108444,-1.0166523814366717,0.2688635575963801
2018-03-15 16:00:00,-0.028054231719906977,-1.0193195411575877,0.2701703400592875
2018-03-15 17:00:00,-0.03470141566984878,-1.0052432598193368,0.27733220058660596
2018-03-15 18:00:00,-0.023759473330375917,-1.0089182161572927,0.28520027207054194
2018-03-15 19:00:00,-0.00932075605947393,-1.020630814936054,0.28809622858517786
2018-03-15 20:00:00,-0.021842835982542066,-1.0188744245591312,0.27792069761014226
2018-03-15 21:00:00,-0.0026844852956126185,-1.0271746109505708,0.289322288281764
2018-03-15 22:00:00,-0.00753056629791365,-1.0067792380716671,0.30441146172869304
2018-03-15 23:00:00,-0.01543390299964592,-1.008031020958946,0.29564605748939476
2018-03-16 00:00:00,-0.003419946132848089,-1.0116245786593145,0.3044492539031992
2018-03-16 01:00:00,-0.02663480122941602,-1.0020638272229645,0.2901997762017524
2018-03-16 02:00:00,-0.01732870534435399,-1.0083609042774049,0.2929149574270054
2018-03-16 03:00:00,-0.014586838724775545,-1.0123387596985056,0.2916771773127899
2018-03-16 04:00:00,-0.002275001720365438,-1.0123938435067632,0.3040866974693511
2018-03-16 05:00:00,0.002445762062716657,-0.9985460411819628,0.3180932790677309
2018-03-16 06:00:00,-0.016279667002737818,-0.981243333781556,0.3221491599159639
2018-03-16 07:00:00,0.007628873770226539,-0.9775814909680812,0.3348407756925117
2018-03-16 08:00:00,0.019072407647317588,-0.9616909652031288,0.33912501103654086
2018-03-16 09:00:00,0.02620728562610351,-0.9496851874605204,0.34428643557022093
2018-03-16 10:00:00,0.025684820305334533,-0.9513230136903912,0.3444694228402097
2018-03-16 11:00:00,0.03576213899626927,-0.9595096125341261,0.3270176722297245
2018-03-16 12:00:00,0.04595782330110725,-0.9627639314965091,0.3146681900482991
2018-03-16 13:00:00,0.05778755988139362,-0.9542925632615198,0.31199747072077916
2018-03-16 14:00:00,0.07135658669519225,-0.9456696120491684,0.30804597082204793
2018-03-16 15:00:00,0.07344361630937321,-0.9537756651744854,0.29880494054596757
2018-03-16 16:00:00,0.08212984979441108,-0.9590232970782828,0.28549549601386975
2018-03-16 17:00:00,0.05632358060280281,-0.9853771311324537,0.28600464623049526
2018-03-16 18:00:00,0.030899091579122386,-1.0303064492699694,0.2670881239904609
2018-03-16 19:00:00,0.0417212141151833,-1.0562639430319472,0.2300830305650411
2018-03-16 20:00:00,0.0560833838368138,-1.0689145859846114,0.202865138169071
2018-03-16 21:00:00,0.052797418632917724,-1.089473669438287,0.18578010334173933
2018-03-16 22:00:00,0.07177450158879674,-1.0749712701151046,0.1811590672565309
2018-03-16 23:00:00,0.07762077218035492,-1.0858403274149564,0.16466196618706694
2018-03-17 00:00:00,0.10281383073452362,-1.0677417411165497,0.15748555101584244
2018-03-17 01:00:00,0.11638064848826885,-1.0328673694276274,0.17867167447448185
2018-03-17 02:00:00,0.10318035926934699,-1.0213730866061534,0.20348121690810328
2018-03-17 03:00:00,0.1078573210578287,-1.0203443662857545,0.1998168330394574
2018-03-17 04:00:00,0.12411412984270326,-1.000645536340483,0.20337249931760232
2018-03-17 05:00:00,0.10701982149799492,-1.0199980604634031,0.2009089828810304
2018-03-17 06:00:00,0.10200165649465318,-1.0363286028715524,0.18966777512875962
2018-03-17 07:00:00,0.10074194194652131,-1.0384421258367913,0.18822323184918835
2018-03-17 08:00:00,0.11673054610974154,-1.0210664712153776,0.1896987516438249
2018-03-17 09:00:00,0.3842185724636182,-0.8005457114366944,0.14676652846680868
2018-03-17 10:00:00,0.3515621694951986,-0.7729008438770995,0.20771250708017985
2018-03-17 11:00:00,0.35842121683676953,-0.75129091592512,0.22241881832302135
2018-03-17 12:00:00,0.364562151325371,-0.7293880427417723,0.23824380487114458
2018-03-17 13:00:00,0.37285716248694156,-0.6964250166623098,0.2627785606051021
2018-03-17 14:00:00,0.3705466153011602,-0.6846544638466345,0.2765579338939116
2018-03-17 15:00:00,0.37188992959211015,-0.6724669498161798,0.28731258247575714
2018-03-17 16:00:00,0.3711173356822574,-0.6633412835586185,0.29681227474360944
2018-03-17 17:00:00,0.3703953527739945,-0.6661672169044137,0.2944760915296854
2018-03-17 18:00:00,0.37676734178281973,-0.6580584061259196,0.29615008946661625
2018-03-17 19:00:00,0.3741471891277763,-0.6592481548921574,0.2972971640859773
2018-03-17 20:00:00,0.3813775004109681,-0.6499428121346804,0.29926655624519083
